country,total_capacity
Afghanistan,18586.0
Albania,8313.0
Algeria,80234.0
Andorra,193.0
Angola,24648.0
Antigua and Barbuda,366.0
Argentina,222472.0
Armenia,12397.0
Aruba,180.0
Australia,94971.0
Austria,67238.0
Azerbaijan,46729.0
Bahrain,3139.0
Bangladesh,129085.0
Barbados,1663.0
Belarus,104339.0
Belgium,70817.0
Benin,5743.0
Bhutan,1282.0
Bolivia,12488.0
Bosnia and Herzegovina,11634.0
Brazil,460833.0
Bulgaria,47765.0
Burkina Faso,7901.0
Cabo Verde,1142.0
Cambodia,13000.0
Cameroon,32781.0
Canada,100059.0
Central African Republic,4666.0
Chad,6191.0
Chile,41204.0
China,5849466.0
Colombia,74473.0
Congo (Brazzaville),8391.0
Congo (Kinshasa),67254.0
Costa Rica,5999.0
Cote d'Ivoire,10028.0
Croatia,22901.0
Cuba,58958.0
Cyprus,4044.0
Denmark,14494.0
Djibouti,1342.0
Dominican Republic,17003.0
Ecuador,25627.0
Egypt,157478.0
El Salvador,8347.0
Equatorial Guinea,2749.0
Estonia,6604.0
Eswatini,2386.0
Ethiopia,32767.0
Fiji,2032.0
Finland,24279.0
France,435417.0
Gabon,13351.0
Georgia,9701.0
Germany,688302.0
Ghana,26790.0
Greece,46129.0
Greenland,807.0
Guatemala,10349.0
Guinea,3724.0
Guyana,1246.0
Haiti,7786.0
Honduras,6711.0
Hungary,68381.0
Iceland,1131.0
India,946832.0
Indonesia,321196.0
Iran,122700.0
Iraq,53807.0
Ireland,13590.0
Israel,27540.0
Italy,205466.0
Jamaica,4989.0
Japan,1695490.0
Jordan,13938.0
Kazakhstan,122453.0
Kenya,71950.0
"Korea, South",593805.0
Kosovo,4244.0
Kuwait,8275.0
Kyrgyzstan,28421.0
Latvia,11174.0
Lebanon,19862.0
Liberia,3855.0
Liechtenstein,315.0
Lithuania,20364.0
Luxembourg,2917.0
Madagascar,5252.0
Malaysia,59904.0
Maldives,2218.0
Malta,2273.0
Mauritania,1761.0
Mauritius,4302.0
Mexico,189286.0
Moldova,20566.0
Monaco,534.0
Mongolia,22191.0
Montenegro,2489.0
Morocco,39632.0
Namibia,6610.0
Nepal,8426.0
Netherlands,80986.0
New Zealand,13679.0
Nicaragua,5819.0
Niger,6733.0
Nigeria,97937.0
North Macedonia,9165.0
Norway,20726.0
Oman,7727.0
Pakistan,127329.0
Panama,9607.0
Papua New Guinea,34425.0
Paraguay,9043.0
Peru,51183.0
Philippines,106652.0
Poland,246861.0
Portugal,34958.0
Puerto Rico,10544.0
Qatar,3338.0
Romania,122686.0
Russia,1184720.0
Rwanda,19683.0
San Marino,128.0
Saudi Arabia,90990.0
Senegal,4756.0
Serbia,39798.0
Seychelles,348.0
Singapore,13533.0
Slovakia,31593.0
Slovenia,9510.0
Somalia,13507.0
South Africa,161783.0
Spain,140171.0
Sri Lanka,78012.0
Sudan,33441.0
Suriname,1786.0
Sweden,26476.0
Switzerland,40028.0
Tanzania,39423.0
Thailand,145800.0
The Bahamas,1118.0
The Gambia,2508.0
Togo,5522.0
Trinidad and Tobago,4170.0
Tunisia,26600.0
Turkey,222263.0
Ukraine,392678.0
United Arab Emirates,11557.0
United Kingdom,186169.0
Uruguay,9658.0
US,948786.0
Uzbekistan,131822.0
Venezuela,23096.0
Vietnam,248405.0
Zambia,34704.0
