base_country,to_country,distance,distance_units,transaction_cost
AD,AE,3243.5383404262125,6.0,16.0
AD,AF,3545.373547643673,7.0,17.0
AD,AG,4082.377262412319,8.0,18.0
AD,AI,4095.9750746659697,8.0,18.0
AD,AL,958.4774921700484,2.0,12.0
AD,AM,2236.163575943672,4.0,14.0
AD,AN,4668.326648531891,9.0,19.0
AD,AO,3854.0217502404803,8.0,18.0
AD,AQ,8139.370647087449,16.0,26.0
AD,AR,6927.649302900085,14.0,24.0
AD,AS,10422.063864241883,21.0,31.0
AD,AT,718.2138046166727,1.0,11.0
AD,AU,9492.734810351949,19.0,29.0
AD,AW,4701.05827919033,9.0,19.0
AD,AZ,2361.231562326998,5.0,15.0
AD,BA,813.564835787667,2.0,12.0
AD,BB,4143.330378723968,8.0,18.0
AD,BD,5068.968975286156,10.0,20.0
AD,BE,566.3611049060487,1.0,11.0
AD,BF,2102.6664121751614,4.0,14.0
AD,BG,1209.9604237846356,2.0,12.0
AD,BH,2978.6045139511084,6.0,16.0
AD,BI,3632.889005667012,7.0,17.0
AD,BJ,2296.9734932686433,5.0,15.0
AD,BM,3615.2503127239197,7.0,17.0
AD,BN,7157.426997834626,14.0,24.0
AD,BO,5793.7847012379925,12.0,22.0
AD,BR,5184.433824429965,10.0,20.0
AD,BS,4530.685987161831,9.0,19.0
AD,BT,4905.1049849752135,10.0,20.0
AD,BV,6700.805160545551,13.0,23.0
AD,BW,4717.849276030585,9.0,19.0
AD,BY,1426.6224383471686,3.0,13.0
AD,BZ,5426.852440364267,11.0,21.0
AD,CA,4437.18140242368,9.0,19.0
AD,CC,7050.406997519789,14.0,24.0
AD,CD,3457.3391356270677,7.0,17.0
AD,CF,2749.237950500214,5.0,15.0
AD,CG,3084.8573208952084,6.0,16.0
AD,CH,439.1209407190819,1.0,11.0
AD,CI,2457.607977848328,5.0,15.0
AD,CK,10612.501976985332,21.0,31.0
AD,CL,7099.809590374588,14.0,24.0
AD,CM,2517.286861410231,5.0,15.0
AD,CN,5152.7726413203245,10.0,20.0
AD,CO,5288.239205166863,11.0,21.0
AD,CR,5528.875244863884,11.0,21.0
AD,CU,4699.496721458349,9.0,19.0
AD,CV,2377.674249273918,5.0,15.0
AD,CX,7420.394520583771,15.0,25.0
AD,CY,1776.214974661844,4.0,14.0
AD,CZ,830.1244055450486,2.0,12.0
AD,DE,726.5540470966137,1.0,11.0
AD,DJ,3242.6203658512254,6.0,16.0
AD,DK,1010.592108983413,2.0,12.0
AD,DM,4134.27726451585,8.0,18.0
AD,DO,4434.525145136357,9.0,19.0
AD,DZ,1002.7138175970753,2.0,12.0
AD,EC,5786.125185849103,12.0,22.0
AD,EE,1496.249905049213,3.0,13.0
AD,EG,1967.5268191279222,4.0,14.0
AD,EH,1512.5517865112613,3.0,13.0
AD,ER,2944.1394902129696,6.0,16.0
AD,ES,311.94454481747994,1.0,11.0
AD,ET,3292.43980890147,7.0,17.0
AD,FI,1663.425291323516,3.0,13.0
AD,FJ,10637.949326746804,21.0,31.0
AD,FK,7471.722391540956,15.0,25.0
AD,FM,8469.507011237158,17.0,27.0
AD,FO,1381.6840501001404,3.0,13.0
AD,FR,256.1474913864814,1.0,11.0
AD,GA,3059.29133227903,6.0,16.0
AD,GB,914.9669500655931,2.0,12.0
AD,GD,4289.709156969614,9.0,19.0
AD,GE,2107.45095436451,4.0,14.0
AD,GF,4277.713704466687,9.0,19.0
AD,GG,518.3869790675404,1.0,11.0
AD,GH,2395.944451732614,5.0,15.0
AD,GI,577.3686948978947,1.0,11.0
AD,GL,2495.6991585757087,5.0,15.0
AD,GM,2250.19433109907,5.0,15.0
AD,GN,2353.8027531444254,5.0,15.0
AD,GP,4099.004467193803,8.0,18.0
AD,GQ,2876.0785528747747,6.0,16.0
AD,GR,1081.6095891858397,2.0,12.0
AD,GS,7068.842149802689,14.0,24.0
AD,GT,5577.235558225707,11.0,21.0
AD,GU,7919.002057573673,16.0,26.0
AD,GW,2351.1423070585693,5.0,15.0
AD,GY,4509.400295994446,9.0,19.0
AD,GZ,1949.0627262953458,4.0,14.0
AD,HK,6230.762299862822,12.0,22.0
AD,HM,7861.076272732497,16.0,26.0
AD,HN,5404.943176814962,11.0,21.0
AD,HR,699.5199968256801,1.0,11.0
AD,HT,4532.172157834181,9.0,19.0
AD,HU,930.4835342436203,2.0,12.0
AD,ID,7379.379052348766,15.0,25.0
AD,IE,876.2818625039121,2.0,12.0
AD,IL,1987.5779841516694,4.0,14.0
AD,IM,854.7530827112815,2.0,12.0
AD,IN,4637.827981835592,9.0,19.0
AD,IO,5532.401337596598,11.0,21.0
AD,IQ,2357.01367629291,5.0,15.0
