country,demand
US,-1554089
IT,-9354
CN,145757
ES,-12136
DE,3902
FR,2054
IR,-6636
GB,-109583
CH,-1340
NL,-32070
BE,-45854
KR,14236
TR,2395
AT,-27
CA,-43463
PT,-39551
NO,-654
BR,10741
IL,-45392
AU,-14148
SE,-3606
CZ,-884
IE,-242
DK,-175
MY,1119
CL,-9451
LU,-261
EC,331
JP,41743
PL,522
RO,-6128
PK,2915
RU,14596
PH,-4784
TH,-1065
SA,2038
ID,7743
ZA,3814
FI,346
GR,880
IN,20470
IS,-158
PA,-3527
DO,227
PE,3
MX,151
SG,-290
AR,5412
RS,-3001
SI,-107
HR,444
DP,-15
CO,1732
EE,-533
QA,8
EG,3846
AE,-1120
IQ,856
NZ,-9977
DZ,1907
BH,-38
MA,-2518
UA,-13399
LT,428
LB,401
AM,228
HU,454
LV,204
BG,1126
AD,-69
BA,-477
CR,83
SK,558
TN,581
UY,72
TW,-361
KZ,-14384
MD,-118
JO,303
MK,185
KW,128
SM,-92
BF,162
CY,-68
AL,1
AZ,115
VN,6040
OM,-289
CI,222
GH,648
MT,32
UZ,2724
SN,96
CM,314
CU,-173
BN,-20
AF,441
VE,559
LK,1935
NG,1519
HN,-1581
WG,-80
MU,89
KH,325
